好的，以下是一個根據主題「願上談判桌解決問題 不追求擁有核武」創作的幽默四格漫畫腳本：

**第一格：**

[描述] 世界首腦高峰會，氣氛緊張。各國元首圍坐在圓桌旁，面色凝重。桌子中央擺著一個迷你核彈模型，上面插滿了和平鴿羽毛。

[角色動作] A國元首（穿著筆挺西裝，頭戴鋼盔）雙手抱胸，眼神警惕地盯著B國元首。B國元首（穿著夏威夷衫，手拿一根香蕉）則笑容可掬地朝A國元首揮手。

[對話] A國元首：「哼，又來這一套！別想用香蕉收買我，核彈才是硬道理！」

**第二格：**

[描述] B國元首將香蕉皮精準地丟進遠處的垃圾桶，然後從口袋裡掏出一副撲克牌。

[角色動作] B國元首洗牌，並對A國元首眨眨眼。A國元首仍然抱著鋼盔，一脸疑惑。

[對話] B國元首：「硬道理？不如我們用撲克牌定輸贏？輸了就簽署裁軍協議，贏了…就讓對方幫忙剝香蕉，怎麼樣？」

**第三格：**

[描述] 圓桌變成了賭桌，各國元首圍坐在桌邊，神情各異。A國元首滿頭大汗地盯著手裡的牌，B國元首則悠閒地啃著另一根香蕉。

[角色動作] A國元首猛地把牌拍在桌上，怒吼道：「梭哈！我…我炸彈！」

[對話] A國元首：「核彈才是…等等，我好像說錯了什麼！」

**第四格：**

[描述] 峰會結束，各國元首握手言和，笑容滿面。桌上堆滿了香蕉皮和簽署好的裁軍協議。A國元首正苦著臉幫B國元首剝香蕉。

[角色動作] A國元首一邊剝香蕉，一邊小聲嘟囔。B國元首則心滿意足地吃著香蕉，向鏡頭比出勝利的手勢。遠處，迷你核彈模型上的和平鴿羽毛更加蓬鬆了。

[對話] A國元首：「早知道就該帶一副好牌…香蕉味兒的和平，也挺好…」
B國元首：「(嚼) 香蕉的力量，你懂了嗎？ 姆哈哈哈！」
