好的，以下是根據「小英男孩鄭亦麟羈押禁見　全因他『囂張1動作』嗆檢」主題，用幽默方式創作的四格漫畫腳本：

**第一格：**
[描述] 陰暗的偵訊室裡，鄭亦麟西裝革履，翹著二郎腿，面對桌子對面的檢察官。桌上擺著一堆文件。

[角色動作] 鄭亦麟用指甲彈著桌面，嘴角帶著輕蔑的微笑。

[對話] 鄭亦麟：「檢察官，證據呢？拿出來啊！不然我等等還要趕場子去參加小英總統的慶功宴呢！」

**第二格：**
[描述] 檢察官的臉色鐵青，用力握緊拳頭。他的助手站在旁邊，嚇得瑟瑟發抖。桌上的文件被震得微微跳動。

[角色動作] 檢察官深吸一口氣，努力壓抑怒火。

[對話] 檢察官（OS）：「深呼吸，深呼吸，不能衝動…這是民主法治社會…」

**第三格：**
[描述] 一陣電話鈴聲響起，打破了沉寂。助手拿起電話，聽筒裡傳出尖銳的聲音。

[角色動作] 助手驚恐地放下電話，指著鄭亦麟。

[對話] 助手（結結巴巴）：「檢…檢察官…總統府來電…他們說…『慶功宴取消！』」

**第四格：**
[描述] 鄭亦麟原本得意的表情瞬間僵住，二郎腿也放了下來。他滿臉錯愕地看著天花板，彷彿看到了自己的人生劇本被撕碎。

[角色動作] 鄭亦麟張大嘴巴，手中的手機滑落。檢察官露出了得意的笑容，並指向身後的警衛。

[對話] 檢察官：「帶走！囂張一時爽，牢底坐穿…別忘了幫他預約剃頭服務！」
